Id,Which team do you work in?,Which bests describes your role,How often to you use ALDI GPT?,What types of tasks would you like ALDI GPT help you with?,Column1,What currently limits your use of AI tools?,What type of support would you find most useful?,How confident do you currently feel using AI tools in your role?
23,National Sustainability,Specialist / Analyst,Occasionally,Summarising a message into a particular tone or into a more condensed message which I am already using it for. Have tried to run some calculations on it but as a language model it wasn't very good at it (the calculation was wrong). Resolving excel formulation errors if it could do that somehow that would be useful.,,N/A,"Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;",Neutral
7,Projects,Manager / Director,Daily,"Analysing data – picking up trends and risks with data accuracy which may skew results.
For example, in a dataset where a record might suggest a product is 200 days out of date, this presents a risk of data inaccuracy.

- Searching ALDI Australia policies.

Question - How do you suggest we differentiate our use of ALDI GPT vs Copilot. What is your recommendation on when we should use one over the other?

",,N/A,"Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;",Very Confident
20,Admin,Office Assistant / Assistant,Weekly,"Rewording of emails, asking for process prompts, refining PPT or training material.",,N/A,"Introductory AI training and practical demonstrations;Quick reference guides, templates and prompting tips;",Very Confident
28,National Sustainability,Office Assistant / Assistant,Occasionally,To reword and rephrase sentences ,,N/A,"Quick reference guides, templates and prompting tips;Introductory AI training and practical demonstrations;",Very Confident
9,Projects,Manager / Director,Weekly,Anything related to productivity improvements/support,,I would benefit from more practical training or examples,Introductory AI training and practical demonstrations;Role-specific examples and team workshops;,Neutral
25,Admin,Manager / Director,Daily,"I'm not sure, but believe it could help the department in a few ways (searching multiple training material sources for example). ",,I would benefit from more practical training or examples,"Introductory AI training and practical demonstrations;Ongoing support sessions, Q&A or consultation;Quick reference guides, templates and prompting tips;Role-specific examples and team workshops;",Neutral
13,Admin,Office Assistant / Assistant,Daily,Write emails/formalise,,I would benefit from more practical training or examples,Role-specific examples and team workshops;,Neutral
24,NBC/POST,Specialist / Analyst,Daily,"Wording emails/documents etc. Pulling data from resources i.e. reports, channels and providing statistics ",,I would benefit from more practical training or examples,"Introductory AI training and practical demonstrations;Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;Ongoing support sessions, Q&A or consultation;",Neutral
3,National Sustainability,Office Assistant / Assistant,Daily,"Rewording
Reviewing Content",,I would benefit from more practical training or examples,"Introductory AI training and practical demonstrations;Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;",Not very confident
6,National Sustainability,Specialist / Analyst,Tried it once or twice,Interpreting or summarising data. Creating graphs or images for reporting. Image editing. Assistance with excel formulas.,,I would benefit from more practical training or examples,Introductory AI training and practical demonstrations;Role-specific examples and team workshops;,Not very confident
30,National Sustainability,Specialist / Analyst,Weekly,"It would be great if ALDI GPT was able to provide ALDI knowledge, using reliable sources. 

In regards to Question 5, it is a little bit of all of the options (except N/A). ",,I would benefit from more practical training or examples,"Introductory AI training and practical demonstrations;Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;",Not very confident
31,Admin,Specialist / Analyst,Weekly,better in supplying excel formulas into excel. ,,I would benefit from more practical training or examples,"Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;Introductory AI training and practical demonstrations;",Not very confident
11,Projects,Manager / Director,Weekly,"Summarising emails, preparing submissions for GDM or other audiences, preparing presentations or external facing documents. ",,I would benefit from more practical training or examples,Introductory AI training and practical demonstrations;,Somewhat confident
12,NBC/POST,Office Assistant / Assistant,Occasionally,"I have used it for drafting plans for projects, analyse large datasets in excel, Copilot for topic/project summary and quick access to information, GPT/Gemini/Claude knows common SAP data tables and t-codes, can assist with explaining data flow or processes, and codex for query correction.",,I would benefit from more practical training or examples,"Role-specific examples and team workshops;Quick reference guides, templates and prompting tips;",Somewhat confident
19,Admin,Office Assistant / Assistant,Weekly,"Currently using ALDI GPT for rewriting emails to a professional standard. Also, when I need assistance with Excel. 
I would be interested it see how GPT can help with project planning. ",,I would benefit from more practical training or examples,Introductory AI training and practical demonstrations;,Somewhat confident
